2020-08-03 23:32:30,471 DEBUG    [server] function "process_action" called from "send_response", params = ({'action': 'presence', 'time': 1596486750, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}},), {}
2020-08-03 23:32:30,472 DEBUG    [server] function "form_response" called from "send_response", params = (200,), {}
2020-08-03 23:32:30,472 DEBUG    [server] Formed response: {'response': 200, 'time': 1596486750, 'alert': 'OK'}
2020-08-03 23:32:30,473 DEBUG    [server] function "send_message" called from "send_response", params = ({'response': 200, 'time': 1596486750, 'alert': 'OK'}, <socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12132)>, <Logger server (DEBUG)>), {}
2020-08-03 23:32:30,473 INFO     [server] -> Sent message to ('127.0.0.1', 12132): {'response': 200, 'time': 1596486750, 'alert': 'OK'}
2020-08-03 23:32:30,473 INFO     [server] New CLIENT: "user0" from ('127.0.0.1', 12132)
2020-08-03 23:32:30,679 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12132)>, <Logger server (DEBUG)>), {}
2020-08-03 23:32:30,679 INFO     [server] <- Received message from ('127.0.0.1', 12132): {'action': 'get_contacts', 'time': 1596486750, 'user_login': 'user0'}
2020-08-03 23:32:30,680 DEBUG    [server] function "send_contacts" called from "read_requests", params = (<Server(Thread-1, started daemon 27516)>, <socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12132)>), {}
2020-08-03 23:32:30,683 DEBUG    [server] function "send_message" called from "send_contacts", params = ({'response': 202, 'time': 1596486750, 'alert': ['user1']}, <socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12132)>, <Logger server (DEBUG)>), {}
2020-08-03 23:32:30,683 INFO     [server] -> Sent message to ('127.0.0.1', 12132): {'response': 202, 'time': 1596486750, 'alert': ['user1']}
2020-08-03 23:32:34,493 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12132)>, <Logger server (DEBUG)>), {}
2020-08-03 23:32:34,494 INFO     [server] <- Received message from ('127.0.0.1', 12132): {'action': 'msg', 'time': 1596486754, 'to': '#test', 'from': 'user0', 'message': 'hey'}
2020-08-03 23:32:34,494 DEBUG    [server] function "send_message" called from "write_responses", params = ({'action': 'msg', 'time': 1596486754, 'to': '#test', 'from': 'user0', 'message': 'hey'}, <socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12132)>, <Logger server (DEBUG)>), {}
2020-08-03 23:32:34,494 INFO     [server] -> Sent message to ('127.0.0.1', 12132): {'action': 'msg', 'time': 1596486754, 'to': '#test', 'from': 'user0', 'message': 'hey'}
2020-08-03 23:34:35,702 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12132)>, <Logger server (DEBUG)>), {}
2020-08-03 23:34:35,702 INFO     [server] <- Received message from ('127.0.0.1', 12132): {'action': 'add_contact', 'time': 1596486875, 'user_login': 'user0', 'user_id': 'cli1'}
2020-08-03 23:37:37,724 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12132)>, <Logger server (DEBUG)>), {}
2020-08-03 23:37:37,724 ERROR    [server] function "receive_message" raised an exception "ConnectionResetError" (10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)
2020-08-03 23:37:37,725 INFO     [server] Connection with ('127.0.0.1', 12132) was reset
2020-08-03 23:37:42,078 DEBUG    [server] function "receive_message" called from "run", params = (<socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12287)>, <Logger server (DEBUG)>), {}
2020-08-03 23:37:42,079 INFO     [server] <- Received message from ('127.0.0.1', 12287): {'action': 'presence', 'time': 1596487062, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}}
2020-08-03 23:37:42,080 DEBUG    [server] function "check_presence" called from "run", params = ({'action': 'presence', 'time': 1596487062, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}},), {}
2020-08-03 23:37:42,164 DEBUG    [server] function "send_response" called from "run", params = (<Server(Thread-1, started daemon 27516)>, {'action': 'presence', 'time': 1596487062, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}}, <socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12287)>), {}
2020-08-03 23:37:42,165 DEBUG    [server] function "process_action" called from "send_response", params = ({'action': 'presence', 'time': 1596487062, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}},), {}
2020-08-03 23:37:42,165 DEBUG    [server] function "form_response" called from "send_response", params = (200,), {}
2020-08-03 23:37:42,166 DEBUG    [server] Formed response: {'response': 200, 'time': 1596487062, 'alert': 'OK'}
2020-08-03 23:37:42,166 DEBUG    [server] function "send_message" called from "send_response", params = ({'response': 200, 'time': 1596487062, 'alert': 'OK'}, <socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12287)>, <Logger server (DEBUG)>), {}
2020-08-03 23:37:42,166 INFO     [server] -> Sent message to ('127.0.0.1', 12287): {'response': 200, 'time': 1596487062, 'alert': 'OK'}
2020-08-03 23:37:42,166 INFO     [server] New CLIENT: "user0" from ('127.0.0.1', 12287)
